In:room_width,In:room_depth,In:transmittance,In:louver_depth,Out:AVG_DF,Out:MIN_DF,Out:MAX_DF,Out:UNIFORMITY_RATIO,Img:Perspective
4,5,0.35,0.3,0.818679,0.169935,2.6149,0.207572,room_width_4_room_depth_5_transmittance_0.35_louver_depth_0.3.png
5,5,0.35,0.3,0.913871,0.194184,2.600641,0.212485,room_width_5_room_depth_5_transmittance_0.35_louver_depth_0.3.png
6,5,0.35,0.3,0.937679,0.186972,2.660493,0.199399,room_width_6_room_depth_5_transmittance_0.35_louver_depth_0.3.png
7,5,0.35,0.3,0.962087,0.175667,2.666459,0.18259,room_width_7_room_depth_5_transmittance_0.35_louver_depth_0.3.png
3,6,0.35,0.3,0.701442,0.187051,2.538719,0.266666,room_width_3_room_depth_6_transmittance_0.35_louver_depth_0.3.png
4,6,0.35,0.3,0.750549,0.217844,2.591209,0.290247,room_width_4_room_depth_6_transmittance_0.35_louver_depth_0.3.png
5,6,0.35,0.3,0.787366,0.186521,2.574365,0.236893,room_width_5_room_depth_6_transmittance_0.35_louver_depth_0.3.png
6,6,0.35,0.3,0.811683,0.174525,2.643051,0.215016,room_width_6_room_depth_6_transmittance_0.35_louver_depth_0.3.png
7,6,0.35,0.3,0.835016,0.163179,2.663647,0.19542,room_width_7_room_depth_6_transmittance_0.35_louver_depth_0.3.png
3,7,0.35,0.3,0.608969,0.126855,2.587681,0.208311,room_width_3_room_depth_7_transmittance_0.35_louver_depth_0.3.png
4,7,0.35,0.3,0.655573,0.165667,2.61529,0.252705,room_width_4_room_depth_7_transmittance_0.35_louver_depth_0.3.png
5,7,0.35,0.3,0.692793,0.187971,2.640778,0.271324,room_width_5_room_depth_7_transmittance_0.35_louver_depth_0.3.png
6,7,0.35,0.3,0.707999,0.164343,2.688077,0.232122,room_width_6_room_depth_7_transmittance_0.35_louver_depth_0.3.png
7,7,0.35,0.3,0.731275,0.155209,2.63759,0.212245,room_width_7_room_depth_7_transmittance_0.35_louver_depth_0.3.png
3,3,0.45,0.3,1.651524,0.480853,3.51752,0.291157,room_width_3_room_depth_3_transmittance_0.45_louver_depth_0.3.png
4,3,0.45,0.3,1.71202,0.389727,3.545883,0.227642,room_width_4_room_depth_3_transmittance_0.45_louver_depth_0.3.png
5,3,0.45,0.3,1.767779,0.36224,3.657829,0.204912,room_width_5_room_depth_3_transmittance_0.45_louver_depth_0.3.png
6,3,0.45,0.3,1.79315,0.346051,3.65762,0.192985,room_width_6_room_depth_3_transmittance_0.45_louver_depth_0.3.png
7,3,0.45,0.3,1.82352,0.32718,3.723284,0.179422,room_width_7_room_depth_3_transmittance_0.45_louver_depth_0.3.png
3,4,0.45,0.3,1.306256,0.414164,3.453726,0.317062,room_width_3_room_depth_4_transmittance_0.45_louver_depth_0.3.png
4,4,0.45,0.3,1.386748,0.33644,3.471873,0.242611,room_width_4_room_depth_4_transmittance_0.45_louver_depth_0.3.png
5,4,0.45,0.3,1.444465,0.3046,3.555139,0.210874,room_width_5_room_depth_4_transmittance_0.45_louver_depth_0.3.png
6,4,0.45,0.3,1.474379,0.285435,3.55591,0.193596,room_width_6_room_depth_4_transmittance_0.45_louver_depth_0.3.png
7,4,0.45,0.3,1.509588,0.273962,3.636537,0.181481,room_width_7_room_depth_4_transmittance_0.45_louver_depth_0.3.png
3,5,0.45,0.3,1.100502,0.369248,3.433181,0.335527,room_width_3_room_depth_5_transmittance_0.45_louver_depth_0.3.png
4,5,0.45,0.3,1.165175,0.319323,3.473665,0.274056,room_width_4_room_depth_5_transmittance_0.45_louver_depth_0.3.png
5,5,0.45,0.3,1.217595,0.27748,3.581228,0.227892,room_width_5_room_depth_5_transmittance_0.45_louver_depth_0.3.png
6,5,0.45,0.3,1.241432,0.253252,3.534758,0.203999,room_width_6_room_depth_5_transmittance_0.45_louver_depth_0.3.png
7,5,0.45,0.3,1.277039,0.235967,3.64751,0.184776,room_width_7_room_depth_5_transmittance_0.45_louver_depth_0.3.png
3,6,0.45,0.3,0.937505,0.251968,3.492048,0.268764,room_width_3_room_depth_6_transmittance_0.45_louver_depth_0.3.png
4,6,0.45,0.3,0.999387,0.307302,3.538966,0.307491,room_width_4_room_depth_6_transmittance_0.45_louver_depth_0.3.png
5,6,0.45,0.3,1.045611,0.265922,3.443695,0.254323,room_width_5_room_depth_6_transmittance_0.45_louver_depth_0.3.png
6,6,0.45,0.3,1.075102,0.241222,3.601559,0.224371,room_width_6_room_depth_6_transmittance_0.45_louver_depth_0.3.png
7,6,0.45,0.3,1.100344,0.221911,3.590239,0.201674,room_width_7_room_depth_6_transmittance_0.45_louver_depth_0.3.png
3,7,0.45,0.3,0.815449,0.172699,3.331661,0.211784,room_width_3_room_depth_7_transmittance_0.45_louver_depth_0.3.png
4,7,0.45,0.3,0.869558,0.222964,3.450807,0.256411,room_width_4_room_depth_7_transmittance_0.45_louver_depth_0.3.png
5,7,0.45,0.3,0.91223,0.251997,3.545074,0.276243,room_width_5_room_depth_7_transmittance_0.45_louver_depth_0.3.png
6,7,0.45,0.3,0.938133,0.232047,3.522969,0.247349,room_width_6_room_depth_7_transmittance_0.45_louver_depth_0.3.png
